Timestamp,IP_Address,Request_Type,Status_Code,User_Agent,Session_ID,Location
2023-01-01 10:01:00,186.196.82.31,POST,404,Safari,3164,Canada
2023-01-01 10:02:00,199.161.192.54,POST,404,Opera,2551,France
2023-01-01 10:03:00,106.170.195.91,PUT,500,Bot,3802,India
2023-01-01 10:04:00,156.16.247.245,DELETE,500,Opera,3966,Brazil
2023-01-01 10:05:00,39.210.25.7,DELETE,301,Bot,4539,China
2023-01-01 10:06:00,71.13.219.142,POST,200,Opera,4159,France
2023-01-01 10:07:00,232.245.121.18,GET,500,Chrome,4409,Brazil
2023-01-01 10:08:00,103.77.247.131,GET,404,Chrome,4562,Brazil
2023-01-01 10:09:00,241.195.189.107,GET,500,Chrome,4188,France
2023-01-01 10:10:00,233.134.222.19,GET,500,Safari,1365,France
2023-01-01 10:11:00,19.108.46.89,POST,200,Firefox,4554,North Korea
2023-01-01 10:12:00,128.30.101.10,GET,301,Bot,1481,France
2023-01-01 10:13:00,44.183.13.106,DELETE,200,Chrome,3256,France
2023-01-01 10:14:00,185.41.82.27,DELETE,301,Safari,1461,USA
2023-01-01 10:15:00,175.7.210.186,GET,200,Opera,3754,India
2023-01-01 10:16:00,198.57.168.203,POST,301,Edge,3564,India
2023-01-01 10:17:00,239.133.42.59,DELETE,404,Edge,1781,India
2023-01-01 10:18:00,249.239.57.245,POST,404,Edge,4941,France
2023-01-01 10:19:00,93.164.132.251,DELETE,200,Safari,2547,India
2023-01-01 10:20:00,19.125.45.243,DELETE,500,Safari,1940,Brazil
2023-01-01 10:21:00,151.248.112.109,DELETE,200,Safari,1874,India
2023-01-01 10:22:00,161.19.187.230,GET,200,Edge,4857,Germany
2023-01-01 10:23:00,42.59.150.76,GET,403,Safari,4674,France
2023-01-01 10:24:00,131.143.19.216,POST,404,Bot,3444,Brazil
2023-01-01 10:25:00,169.61.240.189,DELETE,403,Safari,1073,France
2023-01-01 10:26:00,204.36.77.122,GET,403,Bot,2272,Germany
2023-01-01 10:27:00,129.200.3.6,DELETE,500,Edge,3778,Germany
2023-01-01 10:28:00,79.220.218.40,GET,301,Safari,3093,China
2023-01-01 10:29:00,200.21.107.221,POST,403,Bot,1857,India
2023-01-01 10:30:00,60.96.138.180,GET,500,Bot,2686,Brazil
2023-01-01 10:31:00,54.32.54.26,GET,403,Firefox,1364,USA
2023-01-01 10:32:00,221.220.194.10,PUT,200,Opera,3952,USA
2023-01-01 10:33:00,97.96.209.71,GET,301,Chrome,4732,China
2023-01-01 10:34:00,109.180.182.141,POST,301,Bot,3737,India
2023-01-01 10:35:00,115.81.198.114,PUT,200,Chrome,2954,USA
2023-01-01 10:36:00,151.124.27.58,DELETE,404,Firefox,2508,Brazil
2023-01-01 10:37:00,124.166.227.145,DELETE,301,Opera,2013,Brazil
2023-01-01 10:38:00,207.11.193.73,POST,301,Opera,2992,India
2023-01-01 10:39:00,58.200.211.166,POST,500,Safari,4182,India
2023-01-01 10:40:00,19.232.101.144,DELETE,200,Edge,2903,USA
2023-01-01 10:41:00,46.193.63.55,GET,404,Chrome,1437,USA
2023-01-01 10:42:00,186.114.249.208,GET,404,Bot,1005,Brazil
2023-01-01 10:43:00,89.90.102.128,PUT,200,Firefox,4132,India
2023-01-01 10:44:00,163.59.145.24,POST,403,Edge,1691,Brazil
2023-01-01 10:45:00,20.44.117.79,DELETE,500,Chrome,3832,Germany
2023-01-01 10:46:00,141.135.35.83,PUT,200,Edge,1454,China
2023-01-01 10:47:00,24.168.22.171,GET,200,Safari,4374,India
2023-01-01 10:48:00,129.217.20.200,DELETE,404,Edge,1378,China
2023-01-01 10:49:00,141.228.59.66,PUT,500,Safari,2891,Germany
2023-01-01 10:50:00,248.21.3.141,POST,301,Chrome,3884,India
2023-01-01 10:51:00,113.157.223.186,GET,403,Safari,2469,France
2023-01-01 10:52:00,174.187.116.26,GET,200,Firefox,1790,France
2023-01-01 10:53:00,123.44.103.185,POST,301,Safari,4971,Germany
2023-01-01 10:54:00,156.156.131.2,DELETE,500,Firefox,1979,China
2023-01-01 10:55:00,6.146.199.38,GET,403,Bot,4523,Canada
2023-01-01 10:56:00,101.147.107.116,POST,301,Opera,2636,USA
2023-01-01 10:57:00,11.144.171.19,DELETE,404,Firefox,4389,Canada
2023-01-01 10:58:00,60.229.58.128,PUT,500,Firefox,3579,USA
2023-01-01 10:59:00,150.121.149.74,GET,404,Safari,1571,China
2023-01-01 11:00:00,102.131.110.33,POST,403,Chrome,4679,Brazil
2023-01-01 11:01:00,153.101.35.123,GET,301,Opera,1986,Germany
2023-01-01 11:02:00,18.70.139.207,DELETE,500,Edge,4146,Brazil
2023-01-01 11:03:00,254.11.183.35,GET,404,Bot,3799,USA
2023-01-01 11:04:00,154.14.57.42,PUT,500,Edge,4365,China
2023-01-01 11:05:00,56.117.87.30,DELETE,404,Firefox,4179,China
2023-01-01 11:06:00,178.114.213.220,PUT,301,Safari,1987,France
2023-01-01 11:07:00,133.107.6.194,POST,404,Edge,4933,China
2023-01-01 11:08:00,141.196.247.121,POST,404,Chrome,3823,France
2023-01-01 11:09:00,56.71.209.19,GET,301,Opera,4681,Canada
2023-01-01 11:10:00,164.153.176.144,GET,404,Bot,2459,India
2023-01-01 11:11:00,212.248.99.159,GET,404,Firefox,4977,China
2023-01-01 11:12:00,214.30.30.19,DELETE,404,Edge,2016,France
2023-01-01 11:13:00,107.1.19.64,PUT,403,Bot,3169,Canada
2023-01-01 11:14:00,55.167.210.29,DELETE,200,Opera,3419,USA
2023-01-01 11:15:00,85.251.250.207,POST,301,Chrome,4821,USA
2023-01-01 11:16:00,150.161.216.187,GET,403,Edge,1100,India
2023-01-01 11:17:00,243.130.159.28,GET,200,Edge,2839,France
2023-01-01 11:18:00,64.226.83.64,POST,403,Safari,3338,Germany
2023-01-01 11:19:00,21.58.122.49,GET,301,Safari,3635,China
2023-01-01 11:20:00,227.203.122.227,PUT,404,Firefox,2275,Germany
2023-01-01 11:21:00,59.119.8.1,POST,200,Safari,3666,Canada
2023-01-01 11:22:00,113.124.123.27,DELETE,404,Safari,4802,USA
2023-01-01 11:23:00,164.186.212.53,DELETE,500,Safari,4166,France
2023-01-01 11:24:00,227.5.250.253,POST,200,Chrome,2372,France
2023-01-01 11:25:00,221.88.221.45,DELETE,500,Opera,4607,Germany
2023-01-01 11:26:00,73.221.130.214,GET,200,Edge,2657,China
2023-01-01 11:27:00,172.171.244.231,POST,200,Bot,1014,China
2023-01-01 11:28:00,186.168.84.46,POST,403,Safari,4304,China
2023-01-01 11:29:00,190.0.221.53,GET,404,Opera,4110,India
2023-01-01 11:30:00,151.76.6.142,POST,404,Bot,1710,USA
2023-01-01 11:31:00,14.100.152.161,POST,403,Bot,4223,France
2023-01-01 11:32:00,92.237.61.111,GET,403,Safari,2914,Brazil
2023-01-01 11:33:00,165.136.191.218,DELETE,200,Bot,1970,Germany
2023-01-01 11:34:00,139.234.40.139,GET,404,Safari,3411,China
2023-01-01 11:35:00,31.129.110.61,GET,200,Firefox,1814,France
2023-01-01 11:36:00,222.103.112.182,POST,301,Firefox,3244,Germany
2023-01-01 11:37:00,4.250.89.228,GET,404,Edge,1587,Canada
2023-01-01 11:38:00,35.238.22.98,DELETE,301,Firefox,4963,Germany
2023-01-01 11:39:00,139.240.157.149,DELETE,200,Edge,2414,Germany
2023-01-01 11:40:00,94.61.226.236,POST,403,Safari,3842,Brazil
2023-01-01 11:41:00,56.100.210.159,PUT,500,Chrome,4307,USA
2023-01-01 11:42:00,163.19.111.93,POST,301,Bot,4324,Brazil
2023-01-01 11:43:00,104.205.172.111,PUT,404,Opera,4108,China
2023-01-01 11:44:00,147.179.199.248,POST,200,Bot,3082,Brazil
2023-01-01 11:45:00,152.45.241.45,PUT,500,Bot,3016,India
2023-01-01 11:46:00,203.28.140.21,DELETE,403,Opera,2137,Brazil
2023-01-01 11:47:00,26.25.54.203,POST,403,Bot,3198,China
2023-01-01 11:48:00,19.208.43.241,DELETE,404,Opera,1562,China
2023-01-01 11:49:00,43.77.135.205,GET,500,Chrome,1073,Canada
2023-01-01 11:50:00,130.116.91.237,PUT,301,Firefox,4631,Canada
2023-01-01 11:51:00,247.61.80.178,DELETE,200,Firefox,3214,Brazil
2023-01-01 11:52:00,153.72.248.66,POST,404,Chrome,4204,France
2023-01-01 11:53:00,134.54.196.238,DELETE,200,Opera,3211,USA
2023-01-01 11:54:00,2.120.251.221,GET,200,Safari,1441,Canada
2023-01-01 11:55:00,211.60.74.36,PUT,200,Bot,3027,India
2023-01-01 11:56:00,199.44.156.58,GET,301,Edge,3857,USA
2023-01-01 11:57:00,4.23.65.248,POST,301,Bot,4923,India
2023-01-01 11:58:00,117.1.109.190,POST,403,Edge,3701,France
2023-01-01 11:59:00,120.93.72.185,POST,200,Bot,3508,India
2023-01-01 12:00:00,193.111.205.16,PUT,200,Safari,4348,France
2023-01-01 12:01:00,186.131.111.146,PUT,200,Bot,3004,Brazil
2023-01-01 12:02:00,27.41.214.244,GET,500,Chrome,3362,USA
2023-01-01 12:03:00,57.14.230.27,PUT,301,Safari,3178,India
2023-01-01 12:04:00,249.79.98.167,PUT,200,Bot,4684,France
2023-01-01 12:05:00,3.134.218.181,DELETE,500,Bot,3098,Canada
2023-01-01 12:06:00,84.237.120.184,POST,301,Firefox,2230,China
2023-01-01 12:07:00,218.233.87.108,DELETE,403,Chrome,1655,USA
2023-01-01 12:08:00,104.53.183.245,DELETE,404,Safari,2003,Brazil
2023-01-01 12:09:00,87.99.80.173,POST,200,Safari,1791,Brazil
2023-01-01 12:10:00,163.115.250.184,PUT,403,Chrome,2908,India
2023-01-01 12:11:00,19.253.232.112,GET,404,Edge,2099,China
2023-01-01 12:12:00,42.231.89.194,PUT,200,Firefox,3235,Brazil
2023-01-01 12:13:00,46.166.32.219,PUT,500,Opera,1400,USA
2023-01-01 12:14:00,165.141.188.22,DELETE,403,Opera,2152,India
2023-01-01 12:15:00,214.182.159.251,PUT,404,Edge,1308,North Korea
2023-01-01 12:16:00,233.68.15.41,GET,200,Bot,4875,Canada
2023-01-01 12:17:00,85.66.48.56,PUT,200,Firefox,2803,India
2023-01-01 12:18:00,43.251.6.251,POST,404,Opera,3164,USA
2023-01-01 12:19:00,55.76.214.145,GET,301,Safari,2618,China
2023-01-01 12:20:00,198.167.43.237,PUT,301,Firefox,2486,Brazil
2023-01-01 12:21:00,233.62.152.97,POST,403,Edge,2983,Germany
2023-01-01 12:22:00,54.66.0.10,POST,500,Chrome,3970,China
2023-01-01 12:23:00,68.70.178.159,POST,500,Opera,3121,France
2023-01-01 12:24:00,63.183.20.8,PUT,403,Edge,2070,Canada
2023-01-01 12:25:00,123.11.201.126,DELETE,301,Edge,1419,USA
2023-01-01 12:26:00,195.188.91.65,PUT,500,Firefox,4876,Brazil
2023-01-01 12:27:00,227.23.234.243,DELETE,301,Chrome,3758,France
2023-01-01 12:28:00,51.126.77.29,GET,200,Opera,3585,Brazil
2023-01-01 12:29:00,71.164.96.183,PUT,200,Safari,1839,Canada
2023-01-01 12:30:00,86.62.133.190,DELETE,500,Firefox,2381,Brazil
2023-01-01 12:31:00,251.250.17.203,DELETE,403,Safari,1479,India
2023-01-01 12:32:00,248.243.199.14,POST,404,Safari,1282,Brazil
2023-01-01 12:33:00,79.175.10.143,PUT,301,Edge,2171,Canada
